date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:25:56	174/174	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Mar%202023%2011:25:57%20GMT	http://realmscans.com/wp-content/themes/realm/assets/webfonts/fa-regular-400.woff2	E:/My%20Web%20Sites/scan/realmscans.com/wp-content/themes/realm/assets/webfonts/fa-regular-400.woff2	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:25:56	78632/78632	---M--	200	added ('OK')	font/woff2	etag:%2263ec097b-13328%22	https://realmscans.com/wp-content/themes/realm/assets/webfonts/fa-brands-400.woff2	E:/My%20Web%20Sites/scan/realmscans.com/wp-content/themes/realm/assets/webfonts/fa-brands-400.woff2	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:25:56	13576/13576	---M--	200	added ('OK')	font/woff2	etag:%2263ec097b-3508%22	https://realmscans.com/wp-content/themes/realm/assets/webfonts/fa-regular-400.woff2	E:/My%20Web%20Sites/scan/realmscans.com/wp-content/themes/realm/assets/webfonts/fa-regular-400.woff2	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:25:57	174/174	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Mar%202023%2011:25:58%20GMT	http://realmscans.com/wp-content/themes/realm/assets/webfonts/fa-solid-900.woff2	E:/My%20Web%20Sites/scan/realmscans.com/wp-content/themes/realm/assets/webfonts/fa-solid-900.woff2	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:25:57	80240/80240	---M--	200	added ('OK')	font/woff2	etag:%2263ec097b-13970%22	https://realmscans.com/wp-content/themes/realm/assets/webfonts/fa-solid-900.woff2	E:/My%20Web%20Sites/scan/realmscans.com/wp-content/themes/realm/assets/webfonts/fa-solid-900.woff2	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:25:58	1600/1600	---M--	200	added ('OK')	image/webp	etag:%2263ec097b-640%22	https://realmscans.com/wp-content/uploads/2022/08/logo-realm-scans-2.webp	E:/My%20Web%20Sites/scan/realmscans.com/wp-content/uploads/2022/08/logo-realm-scans-2.webp	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:25:58	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Mar%202023%2011:25:59%20GMT	https://realmscans.com/series	E:/My%20Web%20Sites/scan/realmscans.com/series	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:25:58	137422/137422	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Mar%202023%2010:43:32%20GMT	https://realmscans.com/series/	E:/My%20Web%20Sites/scan/realmscans.com/series/index.html	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:25:58	64762/64762	---M--	200	added ('OK')	image/webp	etag:%2263ec097b-fcfa%22	https://realmscans.com/wp-content/uploads/2022/01/i-am-cultivation-bigshot-thumb.webp	E:/My%20Web%20Sites/scan/realmscans.com/wp-content/uploads/2022/01/i-am-cultivation-bigshot-thumb.webp	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:25:59	88874/88874	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Mar%202023%2011:26:00%20GMT	https://realmscans.com/bookmarks/	E:/My%20Web%20Sites/scan/realmscans.com/bookmarks/index.html	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:25:59	61072/61072	---M--	200	added ('OK')	image/webp	etag:%2263ec097b-ee90%22	https://realmscans.com/wp-content/uploads/2022/01/my-senior-brother-is-too-steady.webp	E:/My%20Web%20Sites/scan/realmscans.com/wp-content/uploads/2022/01/my-senior-brother-is-too-steady.webp	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
